Peptide_Family,Species
Gaegurin,Hylarana nigrovittata
Gaegurin,Hylarana nigrovittata
Gaegurin,Hylarana nigrovittata
Gaegurin,Hylarana nigrovittata
Gaegurin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Temporin,Hylarana nigrovittata
Brevinin,Hylarana nigrovittata
Brevinin,Hylarana nigrovittata
Brevinin,Hylarana nigrovittata
Brevinin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
Esculentin,Hylarana taipehensis
Brevinin,Hylarana taipehensis
,Hylarana taipehensis
Temporin,Hylarana taipehensis
Temporin,Hylarana taipehensis
Temporin,Hylarana taipehensis
Temporin,Hylarana taipehensis
,Hylarana taipehensis
,Hymenochirus boettgeri
,Hyperolius riggenbachi
,Hyperolius riggenbachi
,Hyperolius riggenbachi
Brevinin,Indosylvirana indica
Brevinin,Indosylvirana indica
Brevinin,"Indosylvirana indica"""
,Kassina cochranae
,Kassina cochranae
,Kassina cochranae
,Kassina cochranae
,
,
,Kassina cochranae
,Kassina senegalensis
,
,
,
,
,
,Kassina senegalensis
,Kassina senegalensis
,Klebsiella aerogenes
,Klebsiella aerogenes
,Klebsiella aerogenes
,Klebsiella pneumoniae
,Klebsiella pneumoniae
,Klebsiella pneumoniae
,Klebsiella pneumoniae
,Klebsiella pneumoniae
,Klebsiella pneumoniae
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
,Leptodactylus fuscus
,Leptodactylus fuscus
,Leptodactylus fuscus
,Leptodactylus fuscus
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
Ocellatin,
,
,Leptospira alstonii serovar Pingchang str. 80-412
,Leptospira alstonii serovar Sichuan str. 79601
,Limnonectes fujianensis
,Limnonectes fujianensis
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
,Limnonectes kuhlii
Gaegurin,
Gaegurin,
Rugosin,
Rugosin,
Temporin,
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Esculentin,
Ranatuerin,
Brevinin,"Lithobates blairi"""
Brevinin,"Lithobates blairi"""
Brevinin,"Lithobates blairi"""
Brevinin,"Lithobates blairi"""
Brevinin,"Lithobates blairi"""
Brevinin,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
,"Lithobates blairi"""
Esculentin,"Lithobates blairi"""
Ranatuerin,"Lithobates blairi"""
Ranatuerin,"Lithobates blairi"""
Ranatuerin,"Lithobates blairi"""
Ranatuerin,"Lithobates chiricahuensis"""
Ranatuerin,"Lithobates chiricahuensis"""
Ranatuerin,"Lithobates chiricahuensis"""
Brevinin,"Lithobates chiricahuensis"""
Brevinin,"Lithobates chiricahuensis"""
Brevinin,"Lithobates chiricahuensis"""
Brevinin,"Lithobates chiricahuensis"""
Brevinin,"Lithobates chiricahuensis"""
Esculentin,"Lithobates chiricahuensis"""
,"Lithobates chiricahuensis"""
,"Lithobates chiricahuensis"""
,"Lithobates chiricahuensis"""
Ranatuerin,
,
,
Ranatuerin,
Ranatuerin,
Temporin,
Temporin,
Temporin,
Temporin,
Temporin,
,"Lithobates clamitans"""
,"Lithobates clamitans"""
Temporin,Lithobates clamitans
Palustrin,
Palustrin,
Palustrin,
Palustrin,
Palustrin,
Ranatuerin,
Palustrin,
Palustrin,
Brevinin,Lithobates palustris
Brevinin,Lithobates palustris
Esculentin,Lithobates palustris
Ranatuerin,Lithobates palustris
Nigrocin,Lithobates palustris
Brevinin,"Lithobates palustris"""
Brevinin,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
,"Lithobates palustris"""
